variant,kind,time_tag,station,type,hidden,n,n_train,n_val,n_test,best_mse,paper_mse,diff,mse_mean,mse_sd,r_all,mse_train,r_train,mse_val,r_val,mse_test,r_test,rmse_mgL,best_seed,epochs_mean,seconds
paper,lstm,,BD,A,5,274,187,40,47,0.7832017047787309,0.79,-0.006798295221269179,0.8065576566546813,0.027008001555749766,0.47908331259397136,0.759513010906816,0.5284032037353418,0.8052439536768217,0.428646640073122,0.8586931047388261,0.32136783335564867,2713.7822128340163,45,8.6,2.54
paper,lstm,,BD,A,10,274,187,40,47,0.7628009346240724,0.76,0.002800934624072382,0.7817332536254541,0.012337795924677571,0.4959657313873847,0.7299782213133073,0.5543466686940326,0.8921813821740667,0.34918899591156266,0.7832824130732923,0.3901300920722933,2678.2048229891902,44,14.8,1.13
paper,lstm,,BD,A,20,274,187,40,47,0.7774654290254575,0.76,0.017465429025457446,0.7931144802945784,0.015072215829234932,0.4869466751879096,0.7501717776431736,0.5376119034105411,0.8561026394963163,0.4007268070681809,0.8191340330606213,0.3589730484654604,2703.8258940552587,46,7.0,0.58
paper,lstm,,BD,B,5,185,130,26,29,0.6080428600448151,0.59,0.018042860044815145,0.6682213456441867,0.052288013349269365,0.6356615224137167,0.5853545607770776,0.6631517497624025,0.512329619278331,0.6136514455198643,0.7955609002080725,0.5301081541968897,2268.8284180657665,42,23.2,1.17
paper,lstm,,BD,B,10,185,130,26,29,0.5599078299320606,0.54,0.019907829932060528,0.5955729702158018,0.046606231827092205,0.6671917709352427,0.4946983408535151,0.7248443403178674,0.4875066305653428,0.6398821214720645,0.9171376493715634,0.43156644479438405,2177.1724350637774,45,18.8,0.96
paper,lstm,,BD,B,20,185,130,26,29,0.5475070876194855,0.54,0.007507087619485486,0.5948988605862128,0.07499029187039434,0.6744995388636125,0.49532895112721004,0.7189380287147685,0.4868057136960626,0.6434179681184217,0.835831000240341,0.4994893493327711,2152.927620619014,46,17.6,0.91
paper,lstm,,C7,A,5,278,189,47,42,0.8050270632714637,0.85,-0.044972936728536306,0.8357960724397108,0.01920057626669346,0.44630638904227565,0.8047177564846192,0.5099354010055612,0.7810681078288457,0.2673374548394338,0.8332301558551938,0.34045782202972463,5003.8800857968145,43,17.0,1.67
paper,lstm,,C7,A,10,278,189,47,42,0.8266140565269435,0.83,-0.0033859434730564297,0.8336930122626169,0.004849100933438093,0.4186359407558796,0.8548113583685719,0.46273467944605934,0.7491132482284726,0.2740065334777528,0.7864532932402859,0.3779781555626541,5070.526378075422,42,8.4,0.65
paper,lstm,,C7,A,20,278,189,47,42,0.8356253963565046,0.81,0.025625396356504515,0.8434716847920148,0.00728699119878147,0.4110594777155724,0.8716879841588261,0.44487832182419723,0.7406906957822861,0.2990487410777956,0.7795802018886352,0.37704737962713486,5098.089653561485,46,7.6,0.59
paper,lstm,,C7,B,5,186,126,30,30,0.7357244776664876,0.77,-0.03427552233351239,0.7599475383143128,0.046783467688620364,0.5151300709220226,0.8019023019629041,0.5460842585490573,0.485093788283386,0.6497087820530444,0.7084083050046387,0.28940331995143376,4965.921106583836,45,21.0,1.05
paper,lstm,,C7,B,10,186,126,30,30,0.7106289143434066,0.74,-0.02937108565659341,0.7469480946211767,0.031262451024471304,0.5559364394272981,0.6986140190928279,0.6228850932082245,0.5426961343592952,0.613103915326686,0.929024254379948,0.14009063752413983,4880.492504492605,44,20.2,0.99
paper,lstm,,C7,B,20,186,126,30,30,0.6952445535595062,0.73,-0.034755446440493776,0.7244682369974746,0.02304896501282287,0.5573439322357385,0.7107360955486862,0.6134493802829212,0.490454957967619,0.6352418238150499,0.8349696727968375,0.19362359653908884,4827.3747074927,42,26.2,1.7
blocked,lstm,,BD,A,5,274,209,31,34,0.7777592794220133,0.79,-0.012240720577986752,0.7922804090032738,0.01920103920047991,0.4771942639422939,0.7693664298515236,0.5062225847444082,0.7453586457721306,0.2703830270273996,0.8588923736390347,0.42574873627608634,2704.3368140406355,45,8.0,0.73
blocked,lstm,,BD,A,10,274,209,31,34,0.7462152609115544,0.76,-0.013784739088445574,0.7750223275474221,0.0178339466234477,0.5047779858287389,0.7330723430161087,0.5408985489718791,0.7200817107431334,0.2817488803494379,0.8508331990106486,0.42664540166263026,2648.9285419918187,43,9.4,0.86
blocked,lstm,,BD,A,20,274,209,31,34,0.758568881879039,0.76,-0.0014311181209609725,0.7798371297877541,0.01638626678772217,0.4925016772042202,0.746497701884699,0.5287001293161294,0.7200261589013703,0.2783586455241593,0.8679130298532973,0.42030825939975835,2670.7650912569056,46,7.0,0.76
blocked,lstm,,BD,B,5,185,144,18,23,0.6371057144112298,0.59,0.04710571441122979,0.7188972698105272,0.07691351032661049,0.6036783385735499,0.5831152052791716,0.6704850019991494,0.5436378334365561,-0.22743666852964792,1.0482820262616863,0.24744015551778747,2322.417561823235,45,10.4,0.68
blocked,lstm,,BD,B,10,185,144,18,23,0.5817726748283735,0.54,0.041772674828373435,0.656569191287432,0.08313085720166404,0.6504787417480249,0.5077510591602502,0.7274039874936988,0.5660292138596782,-0.1407565228159808,1.0575333249869066,0.2806105195186298,2219.2754873266094,46,12.8,0.85
blocked,lstm,,BD,B,20,185,144,18,23,0.6272550576833795,0.54,0.08725505768337949,0.7080971117486561,0.04783419293774305,0.610906046362835,0.5587551465273428,0.6916133805571743,0.600514784997055,-0.11502346813823702,1.0770512365887337,0.20903572818998153,2304.393505624508,46,7.0,0.48
blocked,lstm,,C7,A,5,278,212,32,34,0.7870091807875278,0.85,-0.06299081921247218,0.8376554027661502,0.03115942909547963,0.46812911223389864,0.7978722332040843,0.5021206710261065,0.7922643885139371,0.2867832105725372,0.7143287760947326,0.3331518884711539,4947.5655013291425,43,19.8,2.3
blocked,lstm,,C7,A,10,278,212,32,34,0.830897134529619,0.83,0.000897134529619037,0.8389436774758027,0.006171526418091056,0.4154238684090745,0.864692554384635,0.4350918461217116,0.8108653566862897,0.28581354806153086,0.6390261898744172,0.3673328726079702,5083.645802045363,42,8.6,0.77
blocked,lstm,,C7,A,20,278,212,32,34,0.840533407654807,0.81,0.030533407654806943,0.8481632093646262,0.007156935123419305,0.4032101186270728,0.8818358815014558,0.4163943813056337,0.7914749750475268,0.3034168657587898,0.629172977888437,0.37287390752525884,5113.039443605706,43,7.0,0.69
blocked,lstm,,C7,B,5,186,145,18,23,0.7098982655254503,0.77,-0.060101734474549695,0.7335677273469428,0.015238217471806028,0.5392614004038881,0.729580096324427,0.566448519564133,0.5973287710726647,0.54235661593424,0.6739150235384307,0.37347500332968175,4877.9828661459305,43,22.8,1.44
blocked,lstm,,C7,B,10,186,145,18,23,0.7264078537976943,0.74,-0.013592146202305644,0.752864874341739,0.023583195176246418,0.5255760860208284,0.7568239051597568,0.5431912015585835,0.529859694692786,0.5666714580937022,0.6884747849450548,0.3686358530076846,4934.378713363896,45,11.8,0.77
blocked,lstm,,C7,B,20,186,145,18,23,0.6928310566109526,0.73,-0.037168943389047415,0.7259256940909197,0.03136404794592519,0.5546969441747311,0.7183167287027434,0.5770868456816356,0.5700593936783225,0.5507597928990844,0.6282426861534596,0.4336411554491534,4818.988461995771,42,17.6,1.7
common,lstm,,BD,A,5,185,130,26,29,0.7631803960697665,0.79,-0.026819603930233527,0.7840758266392538,0.025924067379966987,0.4943124427073029,0.7352628425853361,0.5317535209158423,0.7518152864146889,0.3794499601431639,0.8985174582769374,0.4437640932448603,2541.8397072237726,42,10.0,0.59
common,lstm,,BD,A,10,185,130,26,29,0.759979755172705,0.76,-2.0244827295012868e-05,0.7809887411956062,0.013079859007853339,0.4931737395028858,0.7393310720802247,0.5269245169523838,0.7252946126641422,0.3961785049492182,0.8836398416294315,0.4468118209090358,2536.504098619662,45,8.0,0.45
common,lstm,,BD,A,20,185,130,26,29,0.7625608359060312,0.76,0.002560835906031178,0.7773835080900909,0.008681219109847023,0.4931180685325974,0.7447720942178897,0.5223124197321436,0.72981876921237,0.3953393208179908,0.8716584274058101,0.45891611065770416,2540.8077478215896,46,9.0,0.59
common,lstm,,BD,B,5,185,130,26,29,0.6080428600448151,0.59,0.018042860044815145,0.6682213456441867,0.052288013349269365,0.6356615224137167,0.5853545607770776,0.6631517497624025,0.512329619278331,0.6136514455198643,0.7955609002080725,0.5301081541968897,2268.8284180657665,42,23.2,1.3
common,lstm,,BD,B,10,185,130,26,29,0.5599078299320606,0.54,0.019907829932060528,0.5955729702158018,0.046606231827092205,0.6671917709352427,0.4946983408535151,0.7248443403178674,0.4875066305653428,0.6398821214720645,0.9171376493715634,0.43156644479438405,2177.1724350637774,45,18.8,1.02
common,lstm,,BD,B,20,185,130,26,29,0.5475070876194855,0.54,0.007507087619485486,0.5948988605862128,0.07499029187039434,0.6744995388636125,0.49532895112721004,0.7189380287147685,0.4868057136960626,0.6434179681184217,0.835831000240341,0.4994893493327711,2152.927620619014,46,17.6,1.57
common,lstm,,C7,A,5,186,126,30,30,0.8106833921762525,0.85,-0.03931660782374746,0.8320810295560497,0.02705331658093717,0.43879958545897707,0.8761290482467701,0.48091542293277606,0.6944682899252139,0.38734982547480995,0.652026738931117,0.3186837138864647,5212.761451483068,45,9.4,0.5
common,lstm,,C7,A,10,186,126,30,30,0.8025242610999632,0.83,-0.02747573890003674,0.8179785629227055,0.013794980584060076,0.4516675816373325,0.858466009543745,0.4963245115736435,0.6772138167953147,0.4372915663012681,0.6928793619407283,0.2990265878147826,5186.463169540019,46,10.2,0.58
common,lstm,,C7,A,20,186,126,30,30,0.8096437680346602,0.81,-0.00035623196533984824,0.820005416687738,0.009779096918001082,0.4405973529876945,0.874044827191421,0.4843595702514221,0.6890105869953137,0.41622995356058656,0.6597925006156107,0.30944122127164475,5209.417944477434,46,8.8,0.57
common,lstm,,C7,B,5,186,126,30,30,0.7357244776664876,0.77,-0.03427552233351239,0.7599475383143128,0.046783467688620364,0.5151300709220226,0.8019023019629041,0.5460842585490573,0.485093788283386,0.6497087820530444,0.7084083050046387,0.28940331995143376,4965.921106583836,45,21.0,1.13
common,lstm,,C7,B,10,186,126,30,30,0.7106289143434066,0.74,-0.02937108565659341,0.7469480946211767,0.031262451024471304,0.5559364394272981,0.6986140190928279,0.6228850932082245,0.5426961343592952,0.613103915326686,0.929024254379948,0.14009063752413983,4880.492504492605,44,20.2,1.16
common,lstm,,C7,B,20,186,126,30,30,0.6952445535595062,0.73,-0.034755446440493776,0.7244682369974746,0.02304896501282287,0.5573439322357385,0.7107360955486862,0.6134493802829212,0.490454957967619,0.6352418238150499,0.8349696727968375,0.19362359653908884,4827.3747074927,42,26.2,2.02
fit_train,lstm,,BD,A,5,274,187,40,47,0.743990312719297,0.79,-0.04600968728070298,0.7659597599088441,0.025617781030825626,0.47883813823657256,0.7221683393333629,0.5275891123381892,0.7610385022538038,0.4319306111359887,0.8163048114807744,0.320279587228843,2714.1438292379175,45,8.6,0.76
fit_train,lstm,,BD,A,10,274,187,40,47,0.7239946721419093,0.76,-0.03600532785809074,0.7421087015385897,0.011940713740317396,0.4965047336054291,0.6920031016996839,0.5554552520015381,0.8486566911890261,0.34748195528326953,0.7451849468400256,0.3901953094136288,2677.4224649553357,44,15.2,1.25
fit_train,lstm,,BD,A,20,274,187,40,47,0.736750383418297,0.76,-0.023249616581702992,0.7527650972860154,0.014694539617075505,0.4882585218558094,0.7108508907123207,0.5389929433464962,0.8124487583452528,0.40076179175198007,0.7753731523319005,0.3611967725053712,2700.9055865985124,46,7.0,0.67
fit_train,lstm,,BD,B,5,185,130,26,29,0.5958378777110919,0.59,0.005837877711091899,0.6532338975050701,0.0476660017437584,0.6341936259375639,0.574618915407802,0.6609218972422738,0.49676534106673836,0.6176767552204749,0.7797810174414672,0.5279411760054384,2272.0552624978977,42,23.2,1.32
fit_train,lstm,,BD,B,10,185,130,26,29,0.549517200863105,0.54,0.009517200863104924,0.583698919634909,0.04053269124479428,0.6655944442917517,0.4877963422959983,0.7220588852806806,0.4683307060812153,0.6471394476772104,0.8989848035545881,0.42822850888918973,2181.9534542668434,45,18.8,1.45
